name,year_of_data,district,Municipal_status,Distance_from_Tel Aviv _District border_Km,Number_of_councillors,Area,Population_density,Total population,Jews_and_others,Jews_percent_of_Jews_and_others,Arab_percentages,Muslims_percent_of_the_Arab_population,Christians_percent_of_the_Arab_population,Druze_percentage_of_the_Arab_population,Total_men,Total_woman,Age_0-4,Age_5-9,Age_10-14,Age_15-19,Age_20-29,Age_30-44,Age_45-59,Age_60-64,Age_65+,Age_0-17,Age_75+,Percentage_of_population_growth_compared_to_the_previous_year,migration_balance,Number_of_families_with_child,Average_monthly_salary_of_employee,Average_monthly_income_of_the_self-employed,Number_of_employees,Number_of_self-employed,Percentage_degree_35-55,Percentage_of_higher_education_within_8_years_out_of_school,Percentage_of_students_20-25,Percentage_of_total_students,Start_of_construction_apartments,Socioeconomic_cluster,Cluster_Most_peripheral,Residence_Percentage,Education_Percentage,Health_Percentage_of_Area,Public_utilities_Percentage,Culture_percentage,Commercial_Offices_Percentage,Industry_Percentage,Infrastructure_transportation_percentage,Agricultural_structures_percentage,Gardening_park_Percentage,Forest_percent,Plant_Percentage,crops Percentage,Open_space_percentage,Weighted_Average_Salary
אום אל-פחם,2017,חיפה,עירייה,57.8,17,26.03,2082.212831348444,54200,0,0,0,100,0,0,27.6,26.7,10.1,10.8,11,12.1,17.1,18.4,14.1,2.4,4.1,39.2,1.3,1.8,35,"8,374","5,361","8,354","18,114","1,543",7.3,25.4,10.5,1.8,46,2,5,21.3,0.8,0.1,0.2,0.4,1.2,0.2,1.4,0,0,24.2,21.8,0.6,27.8,5595.939157
אום אל-פחם,2018,חיפה,עירייה,57.8,17,26.03,2119.9769496734534,55183,0,0,100,100,0,0,"28,114","27,069",10.1,10.3,10.8,11.7,17.8,18,14.6,2.5,4.3,38.3,1.4,1.7,-5,"8,473","5,651","8,745","19,324","1,655",7.7,28.7,10.7,1.9,106,2,5,21.3,0.8,0.1,0.2,0.4,1.2,0.2,1.4,0,0,24.2,21.8,0.6,27.8,5895.080747
אום אל-פחם,2019,חיפה,עירייה,57.8,17,26.03,2155.5512869765653,56109,0,0,100,100,0,0,"28,601","27,508",10.1,10,10.6,11.3,18.2,17.9,14.9,2.7,4.4,37.3,1.5,1.7,-9,"8,503","5,852","8,517","20,519","1,845",8.5,23.3,11.8,2.1,94,2,5,21.3,0.1,0.1,0.2,0.4,1.2,0.2,1.4,0,0,24.2,21.8,0.6,27.8,6071.858925
אום אל-פחם,2020,חיפה,עירייה,57.8,9,25.96,2187.095531587057,56777,0,0,99.9,100,0,0,"28,947","27,829",9.8,9.7,10.4,11,18.7,17.9,15.2,2.8,4.7,36.2,1.6,1.2,620,"8,548","5,870","8,883","22,149","1,918",8.8,28.5,11.4,2.2,26,2,5,21.3,0.8,0.1,0.2,0.4,1.2,0.2,1.4,0,0,24.2,21.8,0.6,27.8,6110.118586
אום אל-פחם,2021,חיפה,עירייה,60.6,17,26.03,2253.7456780637726,58665,0,0,99.9,100,0,0,"29,908","28,757",9.5,9.4,9.9,10.1,19.4,18,15.6,3.1,5,34.9,1.7,1.7,-62,"8,650","7,055","8,597","22,461","1,735",10.5,27.1,13.1,2.4,117,2,5,30.7,1,0.1,0.4,0.3,2.4,0.5,0.8,0.2,0.3,23.6,24.2,0.4,15.1,7165.570755
אום אל-פחם,2022,חיפה,עירייה,60.6,17,26.03,2215.7894736842104,57677,0,0,99.9,100,0,0,"29,408","28,269",9.7,9.5,10.1,10.6,19.1,17.9,15.5,2.9,4.8,35.4,1.6,1.6,-35,"8,560","5,870","8,883","22,149","1,918",9.7,25.8,12.8,2.4,85,2,5,30.7,1,0.1,0.4,0.3,2.4,0.5,0.8,0.2,0.3,23.6,24.2,0.4,15.1,6110.118586
אופקים,2016,הדרום,עירייה,86.8,15,10.38,2562.620424,26600,99.3,93,0,0,0,0,13.1,13.5,12.2,9.6,8.1,7.8,17.4,17.2,14.4,4.1,9.3,34.1,4.3,3.8,-114,"3,859","6,405","8,324","11,978",474,9.6,25.2,6.8,1.9,616,3,3,24.9,1.9,0.3,0.5,1.1,1.6,3,1,0,0.9,1.1,0,19.4,44.3,6478.048988
אופקים,2017,הדרום,עירייה,86.8,15,10.38,2678.227360308285,27800,99.4,93,0,0,0,0,13.6,14.1,12.8,9.9,8.1,7.3,17.2,17.6,13.9,4,9.1,35.1,4,4.3,-872,"3,947","6,462","8,628","12,197",534,9.6,25.2,6.8,1.9,616,3,3,24.9,1.9,0.3,0.5,1.1,1.6,3,1,0,0.9,1.1,0,19.4,44.3,6552.852565
אופקים,2018,הדרום,עירייה,86.8,15,10.38,2795.8574181117533,29021,99.3,92.8,0,0,0,0,"14,359","14,662",13.1,10.2,8.1,7.2,17,17.8,13.6,4,9.1,35.5,3.7,4.5,-18,"4,034","7,123","9,276","13,083",563,10.3,21.6,5.8,1.8,420,3,3,24.9,1.9,0.3,0.5,1.1,1.6,3,1,0,0.9,1.1,0,19.4,44.3,7211.827422
אופקים,2019,הדרום,עירייה,86.8,15,10.38,2953.9499036608863,30662,99.3,92.8,0,0,0,0,"15,171","15,491",13.6,10.6,8,6.9,16.5,18.2,13.2,3.9,9,36.4,3.5,5.7,-7,"4,194","7,547","8,796","14,019",706,12.3,26.6,5.9,1.8,296,3,3,24.9,0.3,0.3,0.5,1.1,1.6,3,1,0,0.9,1.1,0,19.4,44.3,7606.884143
אופקים,2020,הדרום,עירייה,86.8,9,16.35,1991.131498470948,32555,99.3,93.4,0,0,0,0,"16,107","16,448",14,10.9,8.1,7.1,16,18.6,12.7,3.9,8.7,36.9,3.4,6.2,10,"4,308","7,769","9,871","14,311",822,13.8,20.3,7.2,2,270,3,3,24.9,1.9,0.3,0.5,1.1,1.6,3,1,0,0.9,1.1,0,19.4,44.3,7883.177229
אופקים,2021,הדרום,עירייה,87.1,15,16.35,2171.6207951070332,35506,99.3,93.4,0,0,0,0,"17,626","17,881",13.7,11.7,8.7,6.8,14.9,19.8,12,3.8,8.7,38.1,3.3,4.4,763,"4,487","8,731","9,042","14,324",674,16.8,18.3,8,2,650,3,3,21.1,2.4,0.1,0.4,1,0.8,3,0.9,0,1.1,6.7,0.1,46.5,15.9,8744.97613
אופקים,2022,הדרום,עירייה,87.1,15,16.35,2079.4495412844035,33999,99.3,93.4,0,0,0,0,"16,805","17,194",13.9,11.2,8.4,6.8,15.6,19.3,12.3,3.8,8.6,37.7,3.3,4.4,-5,"4,374","7,769","9,871","14,311",822,15.4,23.3,7.9,2,569,3,3,21.1,2.4,0.1,0.4,1,0.8,3,0.9,0,1.1,6.7,0.1,46.5,15.9,7883.177229
אור יהודה,2016,תל אביב,עירייה,0,15,6.67,5472.2638680659675,36500,99.9,97.8,0,0,0,0,18.1,18.4,9.1,7.9,7.1,7.4,14.7,20.6,16.4,5.1,11.7,28.5,4.8,1,-12,"5,210","7,827","9,510","16,975","1,415",12,36.3,12.4,2.1,7,5,8,31.5,2.5,0.1,0.3,1.2,5.7,1.9,4.9,0.1,0.6,0,5.2,30.3,15.7,7956.496737
אור יהודה,2017,תל אביב,עירייה,0,15,6.67,5502.248875562219,36700,99.8,97.9,0,0,0,0,18.2,18.5,9.1,8,7.1,7.3,14.4,20.6,16.2,5.1,12.1,28.5,4.8,0.5,-40.33333333,"5,226","7,859","9,921","16,944","1,462",12,36.3,12.4,2.1,7,6,8,31.5,2.5,0.1,0.3,1.2,5.7,1.9,4.9,0.1,0.6,0,5.2,30.3,15.7,8022.785939
אור יהודה,2018,תל אביב,עירייה,0,15,6.67,5526.836581709145,36864,99.8,97.8,0,0,0,0,"18,207","18,657",9.2,8,7,7.1,14.2,20.5,16.3,5.1,12.7,28.4,4.8,0.4,-202,"5,246","8,305","10,347","17,225","1,440",12.6,42,11.8,2.2,555,6,8,31.5,2.5,0.1,0.3,1.2,5.7,1.9,4.9,0.1,0.6,0,5.2,30.3,15.7,8462.53978
אור יהודה,2019,תל אביב,עירייה,0,15,6.66,5527.477477477478,36813,99.8,97.6,0,0,0,0,"18,215","18,597",9.1,8,7,7.1,14.1,20.2,16.2,5.2,13.1,28.3,4.9,-0.1,-23,"5,294","8,543","9,752","17,634","1,772",13.8,40.5,11.7,2.3,1250,5,8,31.5,0.1,0.1,0.3,1.2,5.7,1.9,4.9,0.1,0.6,0,5.2,30.3,15.7,8653.396166
אור יהודה,2020,תל אביב,עירייה,0,13,6.66,5521.021021021021,36770,99.8,97.7,0,0,0,0,"18,227","18,543",8.7,8.1,7.1,7.1,13.8,20.1,16.2,5.3,13.5,28.3,5,-0.1,-9,"5,330","8,954","10,284","18,941","1,920",14.2,32.8,13,2.5,587,5,8,31.5,2.5,0.1,0.3,1.2,5.7,1.9,4.9,0.1,0.6,0,5.2,30.3,15.7,9076.410239
אור יהודה,2021,תל אביב,עירייה,0,15,6.73,5773.254086181278,38854,99.8,97.2,0,0,0,0,"19,234","19,620",8.9,8.4,7.1,6.7,13.2,20.9,16,5.1,13.7,28.4,5.1,5.5,162,"5,285","9,687","10,157","16,994","1,434",16.8,38.4,11.9,2.3,229,5,8,32.6,3.9,0.3,0.4,0.9,3.6,4.2,3.1,0.3,2.1,0,4.3,25.4,18.9,9723.573692
אור יהודה,2022,תל אביב,עירייה,0,15,6.73,5470.282317979198,36815,99.8,97.6,0,0,0,0,"18,284","18,531",8.6,8.3,7.3,6.9,13.5,20.1,16.2,5.3,13.8,28.3,5,0.1,-92,"5,310","8,954","10,284","18,941","1,920",15.1,34.3,12.7,2.4,1183,5,8,32.6,3.9,0.3,0.4,0.9,3.6,4.2,3.1,0.3,2.1,0,4.3,25.4,18.9,9076.410239
אור עקיבא,2016,חיפה,עירייה,39.5,13,5.55,3171.1711711711714,17600,99.5,92.4,0,0,0,0,8.6,9,9.6,7.8,6.7,6.2,13.8,20.6,16.9,5.4,13.1,27.6,5.9,2.8,40,"2,373","7,117","7,915","9,178",560,11.6,33.2,9.1,1.9,206,5,5,27.8,2.3,0,1.1,2.2,1.6,7.6,2.5,0,1.3,11.4,4.7,8.1,29.4,7162.890327
אור עקיבא,2017,חיפה,עירייה,39.5,13,5.55,3207.2072072072074,17800,99.5,92.2,0,0,0,0,8.7,9.1,9.5,8,6.5,6.3,13.5,20.7,16.5,5.6,13.4,27.7,5.9,1.1,-104,"2,387","7,343","8,549","9,183",616,11.6,33.2,9.1,1.9,206,5,5,27.8,2.3,0,1.1,2.2,1.6,7.6,2.5,0,1.3,11.4,4.7,8.1,29.4,7418.81345
אור עקיבא,2018,חיפה,עירייה,39.5,13,5.55,3285.9459459459463,18237,99.5,92,0,0,0,0,"8,943","9,293",9.6,8,6.5,6.2,13.5,20.6,16.1,5.8,13.7,27.8,5.8,2.7,499,"2,425","7,863","8,922","9,453",649,12.7,33.8,9.1,1.9,19,5,5,27.8,2.3,0,1.1,2.2,1.6,7.6,2.5,0,1.3,11.4,4.7,8.1,29.4,7931.035142
אור עקיבא,2019,חיפה,עירייה,39.5,13,5.55,3418.3783783783783,18972,99.5,91.6,0,0,0,0,"9,326","9,646",9.4,8.3,6.9,5.8,13.1,20.7,15.8,5.9,13.9,28.2,5.5,4,-27,"2,432","8,249","8,441","9,868",785,14.7,27.2,9.3,2,833,5,5,27.8,0,0,1.1,2.2,1.6,7.6,2.5,0,1.3,11.4,4.7,8.1,29.4,8263.148127
אור עקיבא,2020,חיפה,עירייה,39.5,11,5.55,3503.963963963964,19447,99.5,91.7,0,0,0,0,"9,573","9,874",9.1,8.5,6.9,6.2,12.6,20.7,15.8,5.9,14.3,28,5.5,2.5,-5,"2,460","8,316","8,808","9,833",789,15.7,26.9,9.5,2.1,288,5,5,27.8,2.3,0,1.1,2.2,1.6,7.6,2.5,0,1.3,11.4,4.7,8.1,29.4,8352.54566
אור עקיבא,2021,חיפה,עירייה,39.4,13,5.55,3761.0810810810813,20874,99.5,91.2,0,0,0,0,"10,294","10,581",8.7,8.5,7.2,6,12.3,21,15.7,5.8,14.9,28.1,5.8,4.9,283,"2,503","9,705","9,587","9,544",630,18.4,32.3,9,1.9,15,5,6,31.6,3.8,0.2,2,0.9,1.4,9,2.7,0,2.2,5.2,5.4,11.4,24.2,9697.693139
אור עקיבא,2022,חיפה,עירייה,39.4,13,5.55,3585.9459459459463,19902,99.5,91.5,0,0,0,0,"9,815","10,087",8.9,8.5,7.2,6.1,12.4,20.8,15.7,5.9,14.6,28,5.6,2.3,188,"2,468","8,316","8,808","9,833",789,17,23.5,9.4,2.1,1660,5,6,31.6,3.8,0.2,2,0.9,1.4,9,2.7,0,2.2,5.2,5.4,11.4,24.2,8352.54566
אורנית,2016,אזור יהודה והשומרון,מועצה מקומית,15.3,9,9.201761658031089,945.4711307814453,8700,99.9,98.5,0,0,0,0,4.4,4.3,9.4,11.2,9.8,8.1,11.7,21.1,17.3,4.5,6.8,35.3,1.4,1.8,173,943,"12,828","11,139","4,297",471,45.8,61,16.8,3.8,27,8,6,53.4,0.4,0.4,0,2.2,0,0,0.9,0,0,1.3,4,1.3,36.1,12661.15457
אורנית,2017,אזור יהודה והשומרון,מועצה מקומית,15.3,9,9.201761658031089,945.4711307814453,8700,99.9,98.6,0,0,0,0,4.4,4.3,8.8,11,10.3,8,11.8,20.2,18,4.3,7.6,34.7,1.6,0,105,952,"12,729","12,128","4,244",481,45.8,61,16.8,3.8,27,8,6,53.4,0.4,0.4,0,2.2,0,0,0.9,0,0,1.3,4,1.3,36.1,12667.81884
